init,algo,label,n_seeds,final_mean,final_std,final_sem,final_median,final_ci_lo,final_ci_hi,avg_mean,avg_std,avg_sem,avg_median,avg_ci_lo,avg_ci_hi,success_rate,steps90_mean,steps90_median,steps90_n
mild_suboptimal,reinforce,REINFORCE,10,0.5589999999999999,0.0548634668973808,0.017349351572897468,0.575,0.5189923952728984,0.5990076047271015,0.40693333333333337,0.017901513833496453,0.0056609557278861035,0.41066666666666674,0.39387916942482804,0.4199874972418387,0.0,nan,nan,0
mild_suboptimal,trpo,TRPO,10,1.0,0.0,0.0,1.0,1.0,1.0,0.9866666666666666,0.0062321349610578464,0.0019707741162507558,0.9896666666666667,0.9821220615545924,0.9912112717787408,1.0,4000.0,4000.0,10
mild_suboptimal,cleanba_ppo,Cleanba PPO,10,0.378,0.017511900715418267,0.0055377492419453845,0.375,0.3652299502480739,0.3907700497519261,0.31953333333333334,0.0071977362696480935,0.002276124060929185,0.3181666666666667,0.3142845912488306,0.32478207541783605,0.0,nan,nan,0
mild_suboptimal,pc_reinforce,PC-REINFORCE,10,0.9944999999999998,0.012572014777097419,0.0039756201472921915,1.0,0.985332219940344,1.0036677800596556,0.8258833333333333,0.07664842979555064,0.024238361722945415,0.8501666666666667,0.7699896712002212,0.8817769954664454,1.0,25800.0,24000.0,10
mild_suboptimal,pc_actor_critic,PC actor-critic,10,0.9975000000000002,0.0026352313834736517,0.000833333333333334,0.9975,0.9955783333333335,0.9994216666666669,0.8305666666666667,0.04216144748844598,0.013332620351307495,0.8240000000000001,0.7998216441365515,0.8613116891967818,1.0,25400.0,25000.0,10
mild_optimal,reinforce,REINFORCE,10,0.849,0.02884826203122507,0.009122621455602671,0.85,0.8279632349233802,0.8700367650766198,0.8054,0.008863575066696487,0.0028029085422639753,0.808,0.7989364929015392,0.8118635070984608,0.0,54000.0,54000.0,1
mild_optimal,trpo,TRPO,10,0.992,0.02529822128134702,0.007999999999999995,1.0,0.973552,1.010448,0.9926333333333334,0.008348061059718576,0.002639888699486962,0.996,0.9865457499923165,0.9987209166743503,1.0,2000.0,2000.0,10
mild_optimal,cleanba_ppo,Cleanba PPO,10,0.8160000000000001,0.022211108331943546,0.007023769168568483,0.82,0.7998031882972811,0.832196811702719,0.7772,0.004717186857847825,0.0014917054619412048,0.7785,0.7737601272047636,0.7806398727952364,0.0,nan,nan,0
mild_optimal,pc_reinforce,PC-REINFORCE,10,0.999,0.002108185106778922,0.0006666666666666674,1.0,0.9974626666666666,1.0005373333333334,0.9547333333333332,0.022163839975715718,0.0070088216018752685,0.9617500000000001,0.9385709907194089,0.9708956759472576,1.0,12200.0,11000.0,10
mild_optimal,pc_actor_critic,PC actor-critic,10,0.999,0.002108185106778922,0.0006666666666666674,1.0,0.9974626666666666,1.0005373333333334,0.9591833333333334,0.012398339693704711,0.003920699263658127,0.9617500000000001,0.9501422008313377,0.9682244658353291,1.0,11600.0,10000.0,10
favor_optimal,reinforce,REINFORCE,10,0.982,0.010327955589886454,0.003265986323710907,0.98,0.9744686355375226,0.9895313644624774,0.9804666666666666,0.0015729189661499183,0.0004974006507911029,0.9806666666666666,0.9793196607659423,0.9816136725673908,1.0,2000.0,2000.0,10
favor_optimal,trpo,TRPO,10,0.9949999999999999,0.01581138830084191,0.005000000000000004,1.0,0.9834699999999998,1.00653,0.9952333333333334,0.0067842409985145935,0.0021453653750801117,0.9986666666666667,0.9902861207783987,1.0001805458882682,1.0,2000.0,2000.0,10
favor_optimal,cleanba_ppo,Cleanba PPO,10,0.9870000000000001,0.004830458915396484,0.001527525231651948,0.99,0.9834775268158107,0.9905224731841895,0.9833999999999998,0.0013498971154210185,0.00042687494916216227,0.9831666666666665,0.9824156263672319,0.9843843736327678,1.0,2000.0,2000.0,10
favor_optimal,pc_reinforce,PC-REINFORCE,10,1.0,0.0,0.0,1.0,1.0,1.0,0.9975833333333333,0.001133796201775498,0.00035853784000584177,0.9979999999999999,0.9967565450742798,0.9984101215923867,1.0,2000.0,2000.0,10
favor_optimal,pc_actor_critic,PC actor-critic,10,0.9995,0.0015811388300841912,0.0005000000000000004,1.0,0.9983470000000001,1.000653,0.9960000000000001,0.0020427529234278204,0.0006459751934999444,0.9964999999999999,0.9945103812037892,0.997489618796211,1.0,2000.0,2000.0,10
